7,11,3,41,13,165,36,53,83,115,72,
7,12,4,-78,-74,165,104,86,83,115,104,
7,13,1,-69,-68,139,104,59,138,115,104,
7,14,2,-71,-69,139,98,68,83,115,104,
7,15,3,-74,-71,165,36,53,83,115,104,
7,16,4,-89,-85,165,36,59,83,85,72,
7,17,1,17,17,165,90,71,58,85,65,
7,18,2,-26,-24,165,104,59,101,115,104,
7,19,3,-41,-38,165,90,86,83,115,65,
7,20,4,-46,-42,165,36,53,83,115,72,
8,1,1,65,65,165,36,53,138,115,104,
8,2,2,41,20,165,36,53,83,115,104,
8,3,3,13,4,165,36,53,138,115,54,
8,4,4,2,0,165,90,71,58,115,72,
8,5,1,67,67,123,36,53,83,115,72,
8,6,2,67,33,165,36,53,83,115,104,
8,7,3,51,17,165,90,59,138,115,65,
8,8,4,51,12,165,36,53,83,115,104,
8,9,1,34,34,165,36,53,83,115,54,
8,10,2,23,11,165,36,53,83,115,104,
8,11,3,13,4,165,36,53,83,115,104,
8,12,4,-24,-20,165,36,53,138,115,104,
8,13,1,60,60,165,36,53,83,115,54,
8,14,2,-35,-33,165,36,53,83,115,104,
8,15,3,-43,-40,165,36,53,83,115,65,
8,16,4,-52,-48,139,90,53,83,115,72,
8,17,1,65,65,165,36,53,138,115,54,
8,18,2,62,31,139,90,53,83,115,72,
8,19,3,22,7,165,36,53,138,115,72,
8,20,4,18,4,165,36,53,83,115,104,
9,1,1,88,88,165,36,53,138,115,104,
9,2,2,30,15,112,36,53,83,115,98,
9,3,3,20,6,165,90,53,58,115,65,
9,4,4,15,3,92,90,53,83,115,72,
9,5,1,58,58,112,36,53,83,115,98,
9,6,2,58,29,112,36,53,83,115,98,
9,7,3,38,12,165,36,59,83,115,104,
9,8,4,23,5,165,36,53,138,115,104,
9,9,1,63,63,165,36,53,138,115,54,
9,10,2,52,26,151,36,138,138,115,104,
9,11,3,37,12,165,74,53,138,115,54,
9,12,4,36,9,123,36,53,138,115,104,
9,13,1,46,46,165,90,53,83,115,54,
9,14,2,37,18,139,104,86,121,120,104,
9,15,3,24,8,165,90,53,138,85,65,
9,16,4,-45,-41,123,90,53,58,85,65,
9,17,1,47,47,165,36,53,138,115,54,
9,18,2,35,17,165,36,53,138,115,104,
9,19,3,26,8,170,36,53,83,115,54,
9,20,4,24,6,165,36,53,138,163,54,
10,1,1,7,7,165,36,86,121,120,54,
10,2,2,-27,-25,165,36,53,138,115,104,
10,3,3,-92,-89,165,36,53,82,115,54,
10,4,4,-103,-99,165,74,53,74,115,54,
10,5,1,19,19,170,36,84,83,115,98,
10,6,2,16,8,165,36,53,83,115,54,
10,7,3,1,0,165,76,53,83,115,54,
10,8,4,-12,-8,165,104,86,121,115,104,
10,9,1,75,75,165,36,86,121,120,54,
10,10,2,61,30,45,36,53,83,115,100,
10,11,3,60,20,165,76,53,83,115,54,
10,12,4,49,12,165,76,53,83,115,54,
10,13,1,55,55,165,36,53,138,115,54,
10,14,2,29,14,139,104,53,83,115,-13,
10,15,3,28,9,45,36,53,83,115,100,
10,16,4,6,1,139,74,53,138,115,146,
10,17,1,10,10,151,36,138,121,120,104,
10,18,2,0,0,165,36,53,138,115,104,
10,19,3,-2,1,165,36,53,138,115,54,
10,20,4,-8,-4,165,36,53,38,115,54,
11,1,1,52,52,165,90,53,83,115,54,
11,2,2,41,20,165,36,53,121,120,54,
11,3,3,37,12,170,36,84,83,115,91,
11,4,4,33,8,50,90,53,138,115,54,
11,5,1,67,67,165,36,53,138,163,104,
11,6,2,46,23,165,36,53,138,120,54,
11,7,3,27,9,165,36,53,138,163,104,
11,8,4,9,2,165,90,53,83,115,54,
11,9,1,61,61,50,90,53,138,115,54,
11,10,2,49,24,165,36,86,121,120,54,
11,11,3,48,16,45,36,53,83,115,100,
11,12,4,32,8,139,104,86,121,120,104,
11,13,1,38,38,165,36,53,138,115,104,
11,14,2,-11,-9,139,104,86,121,120,104,
11,15,3,-11,-8,165,36,53,138,163,104,
11,16,4,-88,-84,165,36,53,138,115,54,
11,17,1,53,53,165,36,86,138,120,84,
11,18,2,37,18,165,36,86,121,120,54,
11,19,3,20,6,139,104,86,121,120,104,
11,20,4,-2,2,139,104,53,138,115,54,
12,1,1,60,60,165,36,86,138,120,84,
12,2,2,60,30,165,90,53,138,115,104,
12,3,3,57,19,165,36,53,138,120,54,
12,4,4,33,8,45,36,53,67,163,100,
12,5,1,55,55,165,36,86,138,163,84,
12,6,2,54,27,165,36,86,138,120,84,
12,7,3,27,9,165,36,86,121,120,54,
12,8,4,15,3,165,36,86,83,115,84,
12,9,1,62,62,165,36,86,121,120,54,
12,10,2,43,21,165,90,53,83,115,54,
12,11,3,37,12,165,36,86,138,120,84,
12,12,4,18,4,165,36,53,138,115,84,
12,13,1,36,36,165,36,86,83,115,84,
12,14,2,19,9,45,36,167,138,163,104,
12,15,3,16,5,165,36,86,138,120,84,
12,16,4,5,1,165,36,86,121,120,54,
12,17,1,61,61,165,36,86,121,120,54,
12,18,2,42,21,165,36,53,121,163,104,
12,19,3,39,13,165,36,86,138,120,84,
12,20,4,19,4,165,36,53,83,120,84,
13,1,1,33,33,165,36,86,138,115,104,
13,2,2,20,10,165,36,86,121,120,54,
13,3,3,16,5,139,90,86,121,120,104,
13,4,4,5,1,165,90,53,138,115,104,
13,5,1,-62,-61,45,36,53,138,115,100,
13,6,2,-66,-64,165,90,53,121,115,54,
13,7,3,-73,-70,165,79,53,138,115,146,
13,8,4,-110,-106,165,79,53,138,115,146,
13,9,1,44,44,165,36,132,138,163,104,
13,10,2,39,19,165,36,86,138,163,84,
13,11,3,36,12,165,79,53,138,115,146,
13,12,4,-39,-35,50,90,53,138,115,104,
13,13,1,20,20,165,36,53,138,163,84,
13,14,2,13,6,165,36,86,83,163,91,
13,15,3,-8,-5,165,36,53,138,120,100,
13,16,4,-42,-38,165,36,86,138,115,104,
13,17,1,13,13,45,36,125,67,120,84,
13,18,2,8,4,165,36,132,138,163,104,
13,19,3,-6,-3,139,90,86,121,120,104,
13,20,4,-11,-7,165,36,53,138,163,104,
14,1,1,80,80,165,36,86,138,115,246,
14,2,2,37,18,165,36,53,138,163,84,
14,3,3,31,10,165,36,86,83,115,84,
14,4,4,-17,-13,45,36,125,67,163,84,
14,5,1,70,70,165,36,132,138,163,104,
14,6,2,39,19,165,36,86,138,115,104,
14,7,3,7,2,165,36,132,138,163,104,
14,8,4,-9,-5,165,36,86,83,163,104,
14,9,1,44,44,165,36,86,138,163,104,
14,10,2,28,14,165,36,86,138,115,84,
14,11,3,8,2,165,36,106,138,163,104,
14,12,4,3,0,122,36,86,138,163,84,
14,13,1,38,38,165,36,106,138,163,104,
14,14,2,30,15,165,36,86,138,163,168,
14,15,3,25,8,45,36,125,138,115,150,
14,16,4,-2,2,165,36,132,138,163,84,
14,17,1,85,85,165,36,53,138,163,84,
14,18,2,42,21,165,36,86,138,72,104,
14,19,3,36,12,165,36,125,138,163,84,
14,20,4,14,3,37,36,132,138,163,91,
15,1,1,27,27,165,36,125,138,115,84,
15,2,2,22,11,165,36,86,138,115,104,
15,3,3,12,4,165,36,86,138,163,246,
15,4,4,-8,-4,165,36,86,138,115,104,
15,5,1,48,48,165,36,130,138,72,246,
15,6,2,40,20,165,36,86,104,163,104,
15,7,3,-11,-8,165,36,86,138,163,168,
15,8,4,-58,-54,165,36,192,83,163,168,
15,9,1,48,48,165,36,86,138,115,246,
15,10,2,35,17,165,36,86,138,115,246,
15,11,3,31,10,165,36,86,138,72,104,
15,12,4,27,6,165,36,86,138,115,104,
15,13,1,30,30,165,36,86,138,115,246,
15,14,2,26,13,165,36,86,104,163,104,
15,15,3,9,3,165,36,86,138,163,168,
15,16,4,5,1,165,142,53,138,163,168,
15,17,1,50,50,165,36,86,138,163,168,
15,18,2,39,19,165,36,86,138,72,246,
15,19,3,19,6,165,36,125,138,115,150,
15,20,4,10,2,165,36,86,138,72,104,
16,1,1,39,39,165,36,53,138,72,84,
16,2,2,18,9,165,36,86,138,72,104,
16,3,3,12,4,165,36,53,138,163,246,
16,4,4,-58,-54,165,36,53,138,163,53,
16,5,1,42,42,165,36,53,138,163,246,
16,6,2,41,20,165,36,86,138,72,104,
16,7,3,-1,2,165,36,53,138,72,246,
16,8,4,-23,-19,165,36,86,138,163,246,
